id,name,lat,lon
1,Newark Airport,40.691830111075646,-74.17400137278653
2,Jamaica Bay,40.616745572600784,-73.83130005002184
3,Allerton/Pelham Gardens,40.86447318881073,-73.84742177366226
4,Alphabet City,40.72375155202187,-73.97696810617441
5,Arden Heights,40.55265861459798,-74.18848505675093
6,Arrochar/Fort Wadsworth,40.60032420789376,-74.07177038588009
7,Astoria,40.761491994122906,-73.9196942325222
8,Astoria Park,40.77855803946908,-73.92308614721964
9,Auburndale,40.751033566943725,-73.78794894731018
10,Baisley Park,40.67895233930188,-73.79098701332514
11,Bath Beach,40.604272424942025,-74.00748792059649
12,Battery Park,40.70294539808435,-74.01556332774742
13,Battery Park City,40.7120374866854,-74.01607907673858
14,Bay Ridge,40.6248334023672,-74.02989254701002
15,Bay Terrace/Fort Totten,40.78333225698792,-73.785973026475
16,Bayside,40.762736741667794,-73.77342134301219
17,Bedford,40.69150650815782,-73.94990475718072
18,Bedford Park,40.86768175486354,-73.89018372397264
19,Bellerose,40.735485680675545,-73.7266556390492
20,Belmont,40.857778948717325,-73.8858673736246
21,Bensonhurst East,40.60142878115413,-73.983537932404
22,Bensonhurst West,40.612217381391986,-73.99525870375393
23,Bloomfield/Emerson Hill,40.60644812005509,-74.17088527922286
24,Bloomingdale,40.801970030068055,-73.96547914808161
25,Boerum Hill,40.685633253688316,-73.98611364818257
26,Borough Park,40.63094891517326,-73.98866059437066
27,Breezy Point/Fort Tilden/Riis Beach,40.55913436035672,-73.9069122530612
28,Briarwood/Jamaica Hills,40.71159574889735,-73.80872941622545
29,Brighton Beach,40.58092144840008,-73.96121678735233
30,Broad Channel,40.60368630485212,-73.82192780525476
31,Bronx Park,40.857745156604295,-73.87547596471558
32,Bronxdale,40.864001522796165,-73.86490087169818
33,Brooklyn Heights,40.69579763104022,-73.99524996014664
34,Brooklyn Navy Yard,40.70085524567044,-73.97118849845819
35,Brownsville,40.664002402130485,-73.9102578422906
36,Bushwick North,40.70052150174684,-73.91770955761287
37,Bushwick South,40.69499342932737,-73.92223687959121
38,Cambria Heights,40.69434042166914,-73.73555440389367
39,Canarsie,40.63803637905096,-73.89973481818281
40,Carroll Gardens,40.679198559126206,-73.99595612397724
41,Central Harlem,40.804333358386046,-73.95129186327382
42,Central Harlem North,40.81825676429276,-73.94077192322577
43,Central Park,40.782476486518895,-73.96555519959922
44,Charleston/Tottenville,40.525490888602185,-74.23353612600614
45,Chinatown,40.712458802475034,-73.99815127434016
46,City Island,40.849085027083284,-73.78198774286047
47,Claremont/Bathgate,40.84274788898353,-73.90031685118433
48,Clinton East,40.76225205848035,-73.98984464239477
49,Clinton Hill,40.687966717539204,-73.96236330870212
50,Clinton West,40.76623709813282,-73.9951350812897
51,Co-Op City,40.873971876295435,-73.82826341101213
52,Cobble Hill,40.686650744582586,-73.99672395038696
53,College Point,40.78091097765126,-73.84281303024588
54,Columbia Street,40.6872001939523,-74.00291122279926
55,Coney Island,40.576961075312774,-73.98794375519067
56,Corona,40.74140601618418,-73.85884532361277
56,Corona,40.7518186243277,-73.85358159468754
58,Country Club,40.84145132191202,-73.82039333755917
59,Crotona Park,40.83854976256813,-73.89498584450115
60,Crotona Park East,40.833989877184614,-73.88590020648066
61,Crown Heights North,40.674469212012504,-73.93928694101673
62,Crown Heights South,40.66654019693449,-73.9487883090741
63,Cypress Hills,40.6838392767276,-73.87817295262838
64,Douglaston,40.76061368124985,-73.7393367458354
65,Downtown Brooklyn/MetroTech,40.69533700587806,-73.9860858013975
66,DUMBO/Vinegar Hill,40.702258464990045,-73.98570143402998
67,Dyker Heights,40.61961869881776,-74.01380232293587
68,East Chelsea,40.74842677761013,-73.99991751640518
69,East Concourse/Concourse Village,40.83141575528534,-73.91502995194345
70,East Elmhurst,40.763351401886915,-73.86839539602231
71,East Flatbush/Farragut,40.644287211045445,-73.93796626626826
72,East Flatbush/Remsen Village,40.65236394846375,-73.92225108956553
73,East Flushing,40.75410814212103,-73.80729425651334
74,East Harlem North,40.80116860457926,-73.93734550763311
75,East Harlem South,40.79001014072981,-73.94575006123152
76,East New York,40.660933570494,-73.87682034625409
77,East New York/Pennsylvania Avenue,40.666558152801905,-73.89536400109465
78,East Tremont,40.84495989199932,-73.88552147525026
79,East Village,40.727619593695856,-73.98593726217496
80,East Williamsburg,40.715369078262896,-73.93679351794295
81,Eastchester,40.880934583699506,-73.83664438560328
82,Elmhurst,40.739494663857855,-73.8771183422951
83,Elmhurst/Maspeth,40.738323270130785,-73.8921734038035
84,Eltingville/Annadale/Prince's Bay,40.528685390736285,-74.18767984791609
85,Erasmus,40.64611572017922,-73.95162331084693
86,Far Rockaway,40.6024318921271,-73.75524367121405
87,Financial District North,40.70680797534574,-74.00749577602424
88,Financial District South,40.703357446642705,-74.01151485673567
89,Flatbush/Ditmas Park,40.63789923188889,-73.96096810383361
90,Flatiron,40.742278039745514,-73.99697122485651
91,Flatlands,40.62627201793966,-73.93009729545082
92,Flushing,40.761100711204364,-73.8288586430752
93,Flushing Meadows-Corona Park,40.74067310643732,-73.8408653003983
94,Fordham South,40.858154719155806,-73.8995358448972
95,Forest Hills,40.72143087062858,-73.84766918479201
96,Forest Park/Highland Park,40.697000870204505,-73.87156137600346
97,Fort Greene,40.69078610923523,-73.97488192367753
98,Fresh Meadows,40.734461841939854,-73.77725366396736
99,Freshkills Park,40.57677240932402,-74.18642115851895
100,Garment District,40.75351218014737,-73.9887863566446
101,Glen Oaks,40.74599229129238,-73.71102562340906
102,Glendale,40.703545447756106,-73.8757370958938
103,Governor's Island/Ellis Island/Liberty Island,40.689859768655474,-74.04528813655111
103,Governor's Island/Ellis Island/Liberty Island,40.698768316096896,-74.04077061369931
103,Governor's Island/Ellis Island/Liberty Island,40.688783824724325,-74.01907274657331
106,Gowanus,40.6735122612015,-73.99064747106856
107,Gramercy,40.73682343480563,-73.98405193694938
108,Gravesend,40.58840333658884,-73.98143155691325
109,Great Kills,40.551861860071305,-74.15089069875009
110,Great Kills Park,40.54577956375872,-74.12834351283021
111,Green-Wood Cemetery,40.65213683073315,-73.9902343438783
112,Greenpoint,40.72950559133667,-73.94953988856359
113,Greenwich Village North,40.7325784986983,-73.99430449214698
114,Greenwich Village South,40.72833985297938,-73.99737994256233
115,Grymes Hill/Clifton,40.61797081249767,-74.08783893710694
116,Hamilton Heights,40.827012148954815,-73.94852165131243
117,Hammels/Arverne,40.594058457192666,-73.78962367982511
118,Heartland Village/Todt Hill,40.586554668191376,-74.13298475884527
119,Highbridge,40.83782631545857,-73.92615743772063
120,Highbridge Park,40.84666650010147,-73.93018307937507
121,Hillcrest/Pomonok,40.72833215927266,-73.80244406680484
122,Hollis,40.710638338456064,-73.76113717815645
123,Homecrest,40.59995353283668,-73.9643336699268
124,Howard Beach,40.65824687444377,-73.84491830591479
125,Hudson Sq,40.72628991704726,-74.00748558053671
126,Hunts Point,40.81207363533049,-73.88553698067751
127,Inwood,40.86607446857163,-73.91930828598107
128,Inwood Hill Park,40.8723784281733,-73.92436974329688
129,Jackson Heights,40.75731110571662,-73.88531726402185
130,Jamaica,40.70436829225682,-73.79398135276409
131,Jamaica Estates,40.72065468341462,-73.77610132903203
132,JFK Airport,40.64698436628131,-73.786530150555
133,Kensington,40.640589561289936,-73.97619877708806
134,Kew Gardens,40.70805026272772,-73.82871255016717
135,Kew Gardens Hills,40.728376515664905,-73.82119512222988
